"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"PARS","BT","rearing_stream","km",1922.77,1790.78,7.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARS","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARS","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARS","KO","spawning","km",3.83,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing","km",12.54,,,,"NOT_APPLICABLE",,,
"PARS","KO","lake_rearing","ha",376.93,,,,"NOT_APPLICABLE",,,
"PARS","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_stream","km",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","RB","spawning","km",1557.21,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing","km",2462.04,,,,"NOT_APPLICABLE",,,
"PARS","RB","lake_rearing","ha",1839.2,,,,"NOT_APPLICABLE",,,
"PARS","RB","wetland_rearing","ha",7795.89,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_stream","km",1789.51,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","spawning","km",983.86,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing","km",1366.28,,,,"NOT_APPLICABLE",,,
"PARS","GR","lake_rearing","ha",1565.81,,,,"NOT_APPLICABLE",,,
"PARS","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_stream","km",697.38,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","BT","spawning","km",921.92,918.48,0.4,,"WITHIN_TOLERANCE",,"CLOSED",
"PCEA","BT","rearing","km",1489.72,1999.83,-25.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","lake_rearing","ha",172848.03,172864.72,0,,"WITHIN_TOLERANCE",,"CLOSED",
"PCEA","BT","wetland_rearing","ha",692.75,669.14,3.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","rearing_stream","km",1297.95,1300.5,-0.2,,"WITHIN_TOLERANCE",,"CLOSED",
"PCEA","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PCEA","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PCEA","RB","spawning","km",856.61,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing","km",1315.07,,,,"NOT_APPLICABLE",,,
"PCEA","RB","lake_rearing","ha",172848.03,,,,"NOT_APPLICABLE",,,
"PCEA","RB","wetland_rearing","ha",686.17,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_stream","km",1130.48,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","spawning","km",374.49,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing","km",515.1,,,,"NOT_APPLICABLE",,,
"PCEA","GR","lake_rearing","ha",172669.3,,,,"NOT_APPLICABLE",,,
"PCEA","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_stream","km",335.01,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","BT","spawning","km",911.83,897.09,1.6,,"WITHIN_TOLERANCE",,"CLOSED",
"UOMI","BT","rearing","km",1451.62,1490.25,-2.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","lake_rearing","ha",1285.51,1520.19,-15.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","wetland_rearing","ha",2482.4,2430.68,2.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","rearing_stream","km",1218.85,1189.18,2.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"UOMI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"UOMI","RB","spawning","km",804.59,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing","km",1331.5,,,,"NOT_APPLICABLE",,,
"UOMI","RB","lake_rearing","ha",836.06,,,,"NOT_APPLICABLE",,,
"UOMI","RB","wetland_rearing","ha",2398.52,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_stream","km",1098.83,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","spawning","km",465.61,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing","km",588.19,,,,"NOT_APPLICABLE",,,
"UOMI","GR","lake_rearing","ha",656.36,,,,"NOT_APPLICABLE",,,
"UOMI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_stream","km",356.74,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
