"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"LOMI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","RB","spawning","km",2104.5,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing","km",4361.27,,,,"NOT_APPLICABLE",,,
"LOMI","RB","lake_rearing","ha",2936.82,,,,"NOT_APPLICABLE",,,
"LOMI","RB","wetland_rearing","ha",1878.79,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_stream","km",3531.58,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","spawning","km",1109.98,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing","km",1601.7,,,,"NOT_APPLICABLE",,,
"LOMI","GR","lake_rearing","ha",2603.08,,,,"NOT_APPLICABLE",,,
"LOMI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_stream","km",1101.08,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","BT","spawning","km",2245.52,677.69,231.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing","km",5317.51,1131.08,370.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","lake_rearing","ha",1637.06,1776.78,-7.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","wetland_rearing","ha",1087.33,864.21,25.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing_stream","km",4423.39,804.11,450.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"MESI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"MESI","RB","spawning","km",2135.17,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing","km",5538.62,,,,"NOT_APPLICABLE",,,
"MESI","RB","lake_rearing","ha",1636.19,,,,"NOT_APPLICABLE",,,
"MESI","RB","wetland_rearing","ha",1079.29,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_stream","km",4639.39,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","GR","spawning","km",1032.42,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing","km",1605.4,,,,"NOT_APPLICABLE",,,
"MESI","GR","lake_rearing","ha",1443.99,,,,"NOT_APPLICABLE",,,
"MESI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing_stream","km",1172.05,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","BT","spawning","km",7575.57,1491.79,407.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"NATR","BT","rearing","km",13666.94,3071.34,345,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"NATR","BT","lake_rearing","ha",20908.1,19458.72,7.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"NATR","BT","wetland_rearing","ha",13515.47,10247.16,31.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"NATR","BT","rearing_stream","km",12298.05,2486.03,394.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"NATR","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"NATR","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"NATR","KO","spawning","km",121.18,,,,"NOT_APPLICABLE",,,
"NATR","KO","rearing","km",345.43,,,,"NOT_APPLICABLE",,,
"NATR","KO","lake_rearing","ha",16794.12,,,,"NOT_APPLICABLE",,,
"NATR","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"NATR","KO","rearing_stream","km",0,,,,"NOT_APPLICABLE",,,
"NATR","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"NATR","RB","spawning","km",6955.28,,,,"NOT_APPLICABLE",,,
"NATR","RB","rearing","km",13017.21,,,,"NOT_APPLICABLE",,,
