config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,DEAD,ST,spawning,km,114.31,114.02,0.25
default,DEAD,ST,rearing,km,178.63,151.86,17.63
default,DEAD,ST,lake_rearing,ha,206.71,0,NA
default,DEAD,ST,wetland_rearing,ha,314.76,61.69,410.23
default,DEAD,ST,rearing_stream,km,178.63,151.86,17.63
default,DEAD,ST,rearing_lake_centerline,km,0,0,NA
default,DEAD,ST,rearing_wetland_centerline,km,0,0,NA
default,DEAD,RB,spawning,km,136.42,0,NA
default,DEAD,RB,rearing,km,255.46,0,NA
default,DEAD,RB,lake_rearing,ha,258.99,0,NA
default,DEAD,RB,wetland_rearing,ha,322.92,0,NA
default,DEAD,RB,rearing_stream,km,255.46,0,NA
default,DEAD,RB,rearing_lake_centerline,km,0,0,NA
default,DEAD,RB,rearing_wetland_centerline,km,0,0,NA
default,PARS,BT,spawning,km,1683.15,1667.92,0.91
default,PARS,BT,rearing,km,2624.71,2588.91,1.38
default,PARS,BT,lake_rearing,ha,1839.2,2113.02,-12.96
default,PARS,BT,wetland_rearing,ha,7829.82,7824.11,0.07
default,PARS,BT,rearing_stream,km,1921.95,1790.78,7.32
default,PARS,BT,rearing_lake_centerline,km,0,0,NA
default,PARS,BT,rearing_wetland_centerline,km,0,0,NA
default,PARS,RB,spawning,km,1557.21,0,NA
default,PARS,RB,rearing,km,2462.07,0,NA
default,PARS,RB,lake_rearing,ha,1839.2,0,NA
default,PARS,RB,wetland_rearing,ha,7795.89,0,NA
default,PARS,RB,rearing_stream,km,1789.54,0,NA
default,PARS,RB,rearing_lake_centerline,km,0,0,NA
default,PARS,RB,rearing_wetland_centerline,km,0,0,NA
default,MORR,BT,spawning,km,951.33,947.07,0.45
default,MORR,BT,rearing,km,1667.24,1843.9,-9.58
default,MORR,BT,lake_rearing,ha,17118.54,17300.14,-1.05
default,MORR,BT,wetland_rearing,ha,5770.18,5774.66,-0.08
default,MORR,BT,rearing_stream,km,1362.7,1290.3,5.61
