config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
bcfishpass,ELKR,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,ELKR,WCT,spawning,km,1564.59,1538.22,1.71
bcfishpass,ELKR,WCT,rearing,km,1885.02,1889.65,-0.25
bcfishpass,ELKR,WCT,lake_rearing,ha,0,0,NA
bcfishpass,ELKR,WCT,wetland_rearing,ha,0,600.27,-100
bcfishpass,ELKR,WCT,rearing_stream,km,1376.46,1384.4,-0.57
bcfishpass,ELKR,WCT,rearing_lake_centerline,km,0,0,NA
bcfishpass,ELKR,WCT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,DEAD,BT,spawning,km,161.81,160.28,0.95
bcfishpass,DEAD,BT,rearing,km,290.66,291.76,-0.38
bcfishpass,DEAD,BT,lake_rearing,ha,0,635.71,-100
bcfishpass,DEAD,BT,wetland_rearing,ha,0,518.91,-100
bcfishpass,DEAD,BT,rearing_stream,km,262.7,263.62,-0.35
bcfishpass,DEAD,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,DEAD,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,DEAD,CH,spawning,km,109.35,109.07,0.26
bcfishpass,DEAD,CH,rearing,km,127.91,127.95,-0.03
bcfishpass,DEAD,CH,lake_rearing,ha,0,0,NA
bcfishpass,DEAD,CH,wetland_rearing,ha,0,0,NA
bcfishpass,DEAD,CH,rearing_stream,km,127.91,127.95,-0.03
bcfishpass,DEAD,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,DEAD,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,DEAD,CO,spawning,km,129.21,129.1,0.09
bcfishpass,DEAD,CO,rearing,km,165.6,165.13,0.28
bcfishpass,DEAD,CO,lake_rearing,ha,0,0,NA
bcfishpass,DEAD,CO,wetland_rearing,ha,0,275.67,-100
bcfishpass,DEAD,CO,rearing_stream,km,165.6,165.13,0.28
bcfishpass,DEAD,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,DEAD,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,DEAD,PK,spawning,km,130.51,130.44,0.05
bcfishpass,DEAD,PK,rearing,km,0,0,NA
bcfishpass,DEAD,PK,lake_rearing,ha,0,0,NA
bcfishpass,DEAD,PK,wetland_rearing,ha,0,0,NA
bcfishpass,DEAD,PK,rearing_stream,km,0,0,NA
bcfishpass,DEAD,PK,rearing_lake_centerline,km,0,0,NA
bcfishpass,DEAD,PK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,DEAD,SK,spawning,km,0,NA,NA
bcfishpass,DEAD,SK,rearing,km,0,NA,NA
bcfishpass,DEAD,SK,lake_rearing,ha,0,0,NA
bcfishpass,DEAD,SK,wetland_rearing,ha,0,0,NA
bcfishpass,DEAD,SK,rearing_stream,km,0,NA,NA
bcfishpass,DEAD,SK,rearing_lake_centerline,km,0,NA,NA
bcfishpass,DEAD,SK,rearing_wetland_centerline,km,0,NA,NA
bcfishpass,DEAD,ST,spawning,km,114.3,114.02,0.25
bcfishpass,DEAD,ST,rearing,km,151.83,151.86,-0.02
bcfishpass,DEAD,ST,lake_rearing,ha,0,0,NA
bcfishpass,DEAD,ST,wetland_rearing,ha,0,61.69,-100
bcfishpass,DEAD,ST,rearing_stream,km,151.83,151.86,-0.02
bcfishpass,DEAD,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,DEAD,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,PARS,BT,spawning,km,1681.15,1667.92,0.79
bcfishpass,PARS,BT,rearing,km,2564.78,2588.91,-0.93
bcfishpass,PARS,BT,lake_rearing,ha,0,2113.02,-100
bcfishpass,PARS,BT,wetland_rearing,ha,0,7824.11,-100
bcfishpass,PARS,BT,rearing_stream,km,1766.32,1790.78,-1.37
bcfishpass,PARS,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,PARS,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,BT,spawning,km,951.33,947.07,0.45
bcfishpass,MORR,BT,rearing,km,1824.66,1843.9,-1.04
bcfishpass,MORR,BT,lake_rearing,ha,0,17300.14,-100
bcfishpass,MORR,BT,wetland_rearing,ha,0,5774.66,-100
bcfishpass,MORR,BT,rearing_stream,km,1272.03,1290.3,-1.42
bcfishpass,MORR,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,CH,spawning,km,644.81,643.68,0.18
bcfishpass,MORR,CH,rearing,km,880.69,879.43,0.14
bcfishpass,MORR,CH,lake_rearing,ha,0,0,NA
bcfishpass,MORR,CH,wetland_rearing,ha,0,0,NA
bcfishpass,MORR,CH,rearing_stream,km,580.22,580.86,-0.11
bcfishpass,MORR,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,MORR,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,MORR,CO,spawning,km,915.97,911.71,0.47
bcfishpass,MORR,CO,rearing,km,1228.72,1227.86,0.07
bcfishpass,MORR,CO,lake_rearing,ha,0,0,NA
bcfishpass,MORR,CO,wetland_rearing,ha,0,5930.38,-100
